point_id,valley,X,Y,data_type,verific_day,outcome,offset,offset_req,elevation,rel_elev,dist_sewer,dist_pri_sewer,dist_trash,lc_10m_veg,lc_10m_soil,lc_10m_imperv,lc_30m_veg,lc_30m_soil,lc_30m_imperv,lc_pablo_10m_veg,lc_pablo_10m_soil,lc_pablo_10m_imperv,lc_pablo_30m_veg,lc_pablo_30m_soil,lc_pablo_30m_imperv
49,2,561107.1,8571162,faeces,1,0,1,0,54.51459503,26.514595030000002,14.6204906,56.61565635,67.15232044,0.0875,0.0375,0.875,0.153409091,0.264204545,0.582386364,0.07788162,0.090342679,0.831775701,0.234116321,0.159400191,0.606483488
54,2,561124.9,8571158,faeces,1,0,1,0,47.96956635,19.96956635,3.187320993,43.12726795,54.61243703,0.1375,0.4625,0.4,0.210227273,0.323863636,0.465909091,0.411076443,0.302652106,0.286271451,0.277546778,0.1999307,0.522522523
95,2,561162.1,8571150,faeces,1,0,1,0,35,7,11.02269172,17.33009009,47.39850615,0.7125,0.2125,0.075,0.269662921,0.408707865,0.321629213,0.792673422,0.079501169,0.127825409,0.315698329,0.164516408,0.519785263
60,2,561082.2,8571157,faeces,1,0,1,0,44.33476639,16.33476639,22.94407647,63.40764243,77.64483442,0.157894737,0.684210526,0.157894737,0.122507123,0.290598291,0.586894587,0.46848249,0.275486381,0.256031128,0.18731589,0.132212788,0.680471322
400,1,560863.7,8571419,faeces,1,0,1,0,39,10.7,3.764071694,3.764071694,27.86187706,0.526315789,0.276315789,0.197368421,0.519886364,0.275568182,0.204545455,0.756609642,0.076205288,0.16718507,0.640679141,0.119629245,0.239691615
454,1,560983,8571425,faeces,1,0,1,0,47.70481873,19.40481873,3.488209708,44.5966221,32.12082171,0.382716049,0.308641975,0.308641975,0.217207334,0.37235543,0.410437236,0.491022639,0.014051522,0.494925839,0.284266158,0.124155259,0.591578583
187,4,561431.4,8571103,faeces,1,0,1,0,45,21,24.75411301,81.81653341,81.86081713,0,0.039473684,0.960526316,0.007142857,0.044285714,0.948571429,0.04921875,0.00234375,0.9484375,0.048241815,8.66e-4,0.950892084
4,2,561094.9,8571138,faeces,1,0,1,0,39,11,4.72440252,40.6899604,55.67952318,0.1125,0.375,0.5125,0.193181818,0.359375,0.447443182,0.317472699,0.219968799,0.462558502,0.306959009,0.186151313,0.506889678
88,2,561116.4,8571126,faeces,1,0,1,0,37.61003876,9.610038760000002,8.469658342,17.04320213,31.13867687,0.425,0.4875,0.0875,0.274647887,0.416901408,0.308450704,0.49376947,0.175233645,0.330996885,0.391850889,0.213263979,0.394885132
168,4,561521.1,8571157,faeces,1,0,1,0,25,1,9.584195666,9.584195666,13.97330638,0.445945946,0.554054054,0,0.274147727,0.362215909,0.363636364,0.409055425,0.392661983,0.198282592,0.341852205,0.320887118,0.337260677
203,4,561622.3,8571109,faeces,1,0,1,0,25,1,3.54090274,3.54090274,109.9438942,0.473684211,0.473684211,0.052631579,0.268465909,0.426136364,0.305397727,0.43359375,0.31328125,0.253125,0.428002079,0.201698146,0.370299775
264,4,561601.5,8571106,faeces,1,0,1,0,26.76547813,2.7654781300000018,9.318095023,9.318095023,91.49594906,0.1,0.5,0.4,0.345070423,0.366197183,0.288732394,0.109289617,0.193598751,0.697111632,0.411953227,0.198614119,0.389432655
323,4,561573.8,8571135,faeces,1,0,1,0,24,0,8.481158626,8.481158626,56.77865112,0.302631579,0.513157895,0.184210526,0.398860399,0.378917379,0.222222222,0.570762053,0.290046656,0.139191291,0.476421637,0.254074202,0.269504161
36,2,561203.3,8571134,faeces,1,0,1,0,37.48194122,9.481941220000003,8.238560369,17.62311947,67.49078278,0,0.175,0.825,0.080736544,0.223796034,0.695467422,0.06640625,0.01640625,0.9171875,0.14457727,0.071205821,0.784216909
352,4,561472.6,8570804,faeces,1,0,1,0,45.68553925,21.685539249999998,5.294382771,45.33496389,42.70933336,0,0.230769231,0.769230769,0.028248588,0.203389831,0.768361582,0.00624025,0,0.99375975,0.057279029,0.106239168,0.836481802
122,2,561069.8,8571145,faeces,1,0,1,0,45,17,6.183941956,65.94470498,81.32757845,0,0.355263158,0.644736842,0.16951567,0.425925926,0.404558405,0.131928181,0.14754098399999999,0.720530835,0.267867972,0.186606601,0.545525427
147,2,561038.4,8571191,faeces,1,0,1,0,51.57452011,23.57452011,1.669075567,97.19951434,133.5357038,0.065789474,0.236842105,0.697368421,0.107142857,0.247142857,0.645714286,0.135725429,0.007020281,0.85725429,0.135851672,0.061947669,0.802200658
67,2,561212.7,8571276,faeces,1,0,1,0,48.84927368,20.849273680000003,3.765298781,61.25719587,43.44837214,0.0625,0.5,0.4375,0.140226629,0.28611898,0.573654391,0.164458301,0.286048324,0.549493375,0.267394507,0.169136123,0.56346937
77,2,561085.9,8571201,faeces,1,0,1,0,60,32,25.06569432,53.25252308,111.4714545,0.051282051,0.333333333,0.615384615,0.062678063,0.237891738,0.699430199,0.328137178,0.133281372,0.53858145,0.157516453,0.080793211,0.761690336
2,2,561070.1,8571207,faeces,2,0,1,0,63.33011627,35.33011627,22.33786924,66.18948404,125.535484,0,0,1,0.01994302,0.168091168,0.811965812,0.003900156,0.035101404,0.96099844,0.087656994,0.058293634,0.854049372
